source,module,old_name,new_name,current_signature
jazz/stdlib/List.jz,List,listPrepend,prepend,a -> [a] -> [a]
jazz/stdlib/List.jz,List,listReverse,reverse,[a] -> [a]
jazz/stdlib/List.jz,List,listLength,length,[a] -> Int
jazz/stdlib/List.jz,List,listIsEmpty,isEmpty,[a] -> Bool
jazz/stdlib/List.jz,List,listHead,head,[a] -> Maybe(a)
jazz/stdlib/List.jz,List,listTail,tail,[a] -> Maybe([a])
jazz/stdlib/List.jz,List,listLast,last,[a] -> Maybe(a)
jazz/stdlib/List.jz,List,listInit,init,[a] -> Maybe([a])
jazz/stdlib/List.jz,List,listAt,at,Int -> [a] -> Maybe(a)
jazz/stdlib/List.jz,List,listTake,take,Int -> [a] -> [a]
jazz/stdlib/List.jz,List,listDrop,drop,Int -> [a] -> [a]
jazz/stdlib/List.jz,List,listSplitAt,splitAt,"Int -> [a] -> ([a], [a])"
jazz/stdlib/List.jz,List,listAppend,append,[a] -> [a] -> [a]
jazz/stdlib/List.jz,List,listConcat,concat,[[a]] -> [a]
jazz/stdlib/List.jz,List,listRepeat,repeat,Int -> a -> [a]
jazz/stdlib/List.jz,List,listIntersperse,intersperse,a -> [a] -> [a]
jazz/stdlib/List.jz,List,listIntercalate,intercalate,[a] -> [[a]] -> [a]
jazz/stdlib/List.jz,List,listMap,map,(a -> b) -> [a] -> [b]
jazz/stdlib/List.jz,List,listFilter,filter,(a -> Bool) -> [a] -> [a]
jazz/stdlib/List.jz,List,listFilterMap,filterMap,(a -> Maybe(b)) -> [a] -> [b]
jazz/stdlib/List.jz,List,listPartition,partition,"(a -> Bool) -> [a] -> ([a], [a])"
jazz/stdlib/List.jz,List,listFoldLeft,foldLeft,(b -> a -> b) -> b -> [a] -> b
jazz/stdlib/List.jz,List,listFoldRight,foldRight,(a -> b -> b) -> b -> [a] -> b
jazz/stdlib/List.jz,List,listScanLeft,scanLeft,(b -> a -> b) -> b -> [a] -> [b]
jazz/stdlib/List.jz,List,listAny,any,(a -> Bool) -> [a] -> Bool
jazz/stdlib/List.jz,List,listAll,all,(a -> Bool) -> [a] -> Bool
jazz/stdlib/List.jz,List,listContains,contains,@{Eq(a)}: a -> [a] -> Bool
jazz/stdlib/List.jz,List,listFind,find,(a -> Bool) -> [a] -> Maybe(a)
jazz/stdlib/List.jz,List,listFindIndex,findIndex,(a -> Bool) -> [a] -> Maybe(Int)
jazz/stdlib/List.jz,List,listZip,zip,"[a] -> [b] -> [(a, b)]"
jazz/stdlib/List.jz,List,listUnzip,unzip,"[(a, b)] -> ([a], [b])"
jazz/stdlib/List.jz,List,listIndexed,indexed,"[a] -> [(Int, a)]"
jazz/stdlib/List.jz,List,listDistinct,distinct,@{Eq(a)}: [a] -> [a]
jazz/stdlib/List.jz,List,listGroup,group,@{Eq(a)}: [a] -> [[a]]
jazz/stdlib/List.jz,List,listGroupBy,groupBy,(a -> a -> Bool) -> [a] -> [[a]]
jazz/stdlib/List.jz,List,listMinimum,minimum,@{Ord(a)}: [a] -> Maybe(a)
jazz/stdlib/List.jz,List,listMaximum,maximum,@{Ord(a)}: [a] -> Maybe(a)
jazz/stdlib/List.jz,List,listSort,sort,@{Ord(a)}: [a] -> [a]
jazz/stdlib/List.jz,List,listSortBy,sortBy,(a -> a -> Ordering) -> [a] -> [a]
jazz/stdlib/Queue.jz,Queue,queueEmpty,empty,Queue(a)
jazz/stdlib/Queue.jz,Queue,queueSingleton,singleton,a -> Queue(a)
jazz/stdlib/Queue.jz,Queue,queueFromList,fromList,[a] -> Queue(a)
jazz/stdlib/Queue.jz,Queue,queueToList,toList,Queue(a) -> [a]
jazz/stdlib/Queue.jz,Queue,queueSize,size,Queue(a) -> Int
jazz/stdlib/Queue.jz,Queue,queueIsEmpty,isEmpty,Queue(a) -> Bool
jazz/stdlib/Queue.jz,Queue,queueEnqueue,enqueue,Queue(a) -> a -> Queue(a)
jazz/stdlib/Queue.jz,Queue,queueEnqueueAll,enqueueAll,Queue(a) -> [a] -> Queue(a)
jazz/stdlib/Queue.jz,Queue,queuePeek,peek,Queue(a) -> Maybe(a)
jazz/stdlib/Queue.jz,Queue,queueDequeue,dequeue,"Queue(a) -> Maybe((a, Queue(a)))"
jazz/stdlib/Queue.jz,Queue,queueMap,map,Queue(a) -> (a -> b) -> Queue(b)
jazz/stdlib/Queue.jz,Queue,queueFoldLeft,foldLeft,Queue(a) -> b -> (b -> a -> b) -> b
jazz/stdlib/Queue.jz,Queue,queueFoldRight,foldRight,Queue(a) -> b -> (a -> b -> b) -> b
jazz/stdlib/Maybe.jz,Maybe,maybeMap,map,(a -> b) -> Maybe(a) -> Maybe(b)
jazz/stdlib/Maybe.jz,Maybe,maybeAndThen,andThen,(a -> Maybe(b)) -> Maybe(a) -> Maybe(b)
jazz/stdlib/Maybe.jz,Maybe,maybeWithDefault,withDefault,a -> Maybe(a) -> a
jazz/stdlib/Maybe.jz,Maybe,maybeOrElse,orElse,Maybe(a) -> Maybe(a) -> Maybe(a)
jazz/stdlib/Maybe.jz,Maybe,maybeFilter,filter,(a -> Bool) -> Maybe(a) -> Maybe(a)
jazz/stdlib/Maybe.jz,Maybe,maybeIsJust,isJust,Maybe(a) -> Bool
jazz/stdlib/Maybe.jz,Maybe,maybeIsNothing,isNothing,Maybe(a) -> Bool
jazz/stdlib/Maybe.jz,Maybe,maybeToList,toList,Maybe(a) -> [a]
jazz/stdlib/Maybe.jz,Maybe,maybeFromList,fromList,[a] -> Maybe(a)
jazz/stdlib/Result.jz,Result,resultMap,map,"(a -> b) -> Result(e, a) -> Result(e, b)"
jazz/stdlib/Result.jz,Result,resultMapError,mapError,"(e -> f) -> Result(e, a) -> Result(f, a)"
jazz/stdlib/Result.jz,Result,resultAndThen,andThen,"(a -> Result(e, b)) -> Result(e, a) -> Result(e, b)"
jazz/stdlib/Result.jz,Result,resultRecover,recover,"(e -> Result(f, a)) -> Result(e, a) -> Result(f, a)"
jazz/stdlib/Result.jz,Result,resultWithDefault,withDefault,"a -> Result(e, a) -> a"
jazz/stdlib/Result.jz,Result,resultIsOk,isOk,"Result(e, a) -> Bool"
jazz/stdlib/Result.jz,Result,resultIsErr,isErr,"Result(e, a) -> Bool"
